event_id,open_date,event_name,home,away,total_matched,backp1_a,backp1_b,sentiment_score_st_a,sentiment_score_st_b,sentiment_score_lt_a,sentiment_score_lt_b,volume_st_a,volume_st_b,volume_lt_a,volume_lt_b,wgted_players_sentiment_a,wgted_players_sentiment_b,wgted_players_sentiment_st_a,wgted_players_sentiment_st_b,volume_players_a,volume_players_b,volume_players_st_a,volume_players_st_b,volume_players_st_previous_a,volume_players_st_previous_b,date_data,date_sentiment_a,date_sentiment_b,date_odds,final_result
29024742,"2018-12-08 12:30:00","Bournemouth v Liverpool",Bournemouth,Liverpool,196688.34,5.9,1.6,71,74,83,65,4166,48069,23670,289099,92,85,75,86,10949,169285,1348,21670,1162,21632,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",2
29004145,"2018-12-05 20:00:00","Man Utd v Arsenal","Man Utd",Arsenal,208075,2.48,3,30,77,49,74,89975,111034,487013,288675,65,81,48,81,160111,141985,16645,43075,20336,40344,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",3
29004144,"2018-12-05 20:00:00","Tottenham v Southampton",Tottenham,Southampton,60213,1.39,9.8,42,56,67,47,42338,15059,171971,51101,76,54,52,66,55006,13878,12099,1908,12143,1774,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",1
29004142,"2018-12-05 19:45:00","Burnley v Liverpool",Burnley,Liverpool,59079.35,13.5,1.3,51,69,59,59,3234,65750,13962,294886,75,82,69,79,894,167262,86,16256,105,15077,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",2
29004143,"2018-12-05 19:45:00","Everton v Newcastle",Everton,Newcastle,24731.05,1.61,6.8,61,41,71,63,26757,12437,84650,58764,79,83,72,64,25371,4651,6518,296,5999,346,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",3
29004140,"2018-12-05 19:45:00","Fulham v Leicester",Fulham,"Leicester City",20108.09,3,2.5,63,80,64,82,4543,5269,35604,37588,71,75,71,75,3298,11842,491,1567,468,1581,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",3
29004141,"2018-12-05 19:45:00","Wolves v Chelsea",Wolves,Chelsea,48945,5,1.81,61,64,63,62,3093,29157,27014,195624,68,77,68,76,5414,72547,788,9881,516,8877,2018-12-04,"2018-12-04 00:00:00","2018-12-04 00:00:00","2018-12-11 23:56:34",1
29004138,"2018-12-04 20:00:00","Watford v Man City",Watford,"Man City",85753.63,11,1.31,70,69,70,64,3768,16103,18028,152487,85,71,77,69,4228,89186,674,10329,516,9752,2018-12-03,"2018-12-03 00:00:00","2018-12-03 00:00:00","2018-12-10 23:41:39",2
29004137,"2018-12-04 19:45:00","Bournemouth v Huddersfield",Bournemouth,Huddersfield,19680.77,1.74,5.5,74,47,83,71,3584,4551,23864,23132,92,76,73,69,10723,3848,310,351,334,418,2018-12-03,"2018-12-03 00:00:00","2018-12-03 00:00:00","2018-12-10 23:41:39",1
29004136,"2018-12-04 19:45:00","Brighton v C Palace",Brighton,"Crystal Palace",32389.3,2.94,2.88,68,76,61,69,4598,5826,21418,29356,81,82,72,77,5628,5357,1310,1220,1245,889,2018-12-03,"2018-12-03 00:00:00","2018-12-03 00:00:00","2018-12-10 23:41:39",1
